,Name,Symbol,Exchange,Sector,Industry,Last,Chg. %,Market Cap,Vol.,P/E Ratio,"MACD (12,26 / 1D)",Revenue,Average Vol. (3m),EPS,Beta,Dividend,Yield,15 Minutes,Hourly,Daily,Weekly,Monthly,Daily,1 Week,1 Month,YTD,1 Year,3 Years,1-Year Change,Dividend Yield (%),P/E Ratio (TTM),Price to Sales (TTM),Price to Cash Flow (MRQ),Price to Free Cash Flow (TTM),Price to Book (MRQ),Price to Tangible Book (MRQ),EPS(MRQ) vs Qtr. 1 Yr. Ago,EPS(TTM) vs TTM 1 Yr. Ago,5 Year EPS Growth,Sales (MRQ) vs Qtr. 1 Yr. Ago,Sales (TTM) vs TTM 1 Yr. Ago (TTM),5 Year Sales Growth,5 Year Capital Spending Growth,Asset Turnover (TTM),Inventory Turnover (TTM),Revenue/Employee (TTM),Net Income/Employee (TTM),Receivable Turnover (TTM),52 wk Range - High,52 wk Range - Low,% Change from 52 wk High,% Change from 52 wk Low,Previous Month % Change,Gross margin (TTM),Gross Margin (5YA),Operating margin (TTM),Operating margin (5YA),Pretax margin (TTM),Pretax margin (5YA),Net Profit margin (TTM),Net Profit margin (5YA),Quick Ratio (MRQ),Current Ratio (MRQ),LT Debt to Equity (MRQ),Total Debt to Equity,Dividend Yield 5 Year Avg. (5YA),Dividend Growth Rate (ANN),Payout Ratio (TTM),ADX (14 / 1D),ATR (14 / 1D),Bull/Bear Power (13 / 1D),CCI (14 / 1D),Highs/Lows (14 / 1D),ROC (1D),RSI (14 / 1D),STOCH (14 / 1D),STOCHRSI (14 / 1D),Ultimate Oscillator (14 /1D),Williams %R (1D)
0,Apple Inc BDR,AAPL34,BM&FBovespa,Information Technology,"Technology Hardware, Storage & Peripherals",36.65,-1.87%,11.67T,573.90K,24.24,-0.29,304.18B,553.18K,6.15,1.25,0.33,-,Strong Sell,Strong Sell,Strong Sell,Strong Sell,Sell,-1.87,-4.81,4.74,-25.48,-24.57,169.29,-23.47,0.45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.25,32.34,-29.86,13.33,-3.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.60,1.08,-2.39,-152.65,-1.80,-9.53,40.99,33.35,0.00,37.60,-95.97
1,Microsoft Corp BDR,MSFT34,BM&FBovespa,Information Technology,Software,53.04,-0.9%,9.48T,398.09K,26.65,0.47,196.53B,352.48K,9.33,0.92,0.41,-,Strong Sell,Strong Sell,Strong Sell,Neutral,Sell,-0.90,-3.67,9.29,-32.01,-31.41,105.90,-31.78,0.77%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,81.08,44.98,-34.58,17.92,10.02%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19.83,1.39,-1.39,-141.38,-0.66,-2.27,48.27,57.19,0.00,52.68,-83.63
2,Amazon.com Inc BDR,AMZO34,BM&FBovespa,Consumer Discretionary,Internet & Direct Marketing Retail,23.12,0%,4.71T,367.66K,84.61,-1.07,475.59B,515.62K,1.11,1.23,-,-,Strong Buy,Strong Sell,Strong Sell,Strong Sell,Strong Sell,0.00,-6.36,3.35,-50.69,-52.60,27.59,-52.88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49.6,22.16,-53.39,4.33,-6.21%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36.70,0.82,-2.23,-250.90,-1.13,-10.39,35.23,42.27,0.00,39.52,-90.16
3,Berkshire Hathaway BDR,BERK34,BM&FBovespa,Financial,Diversified Financial Services,79.49,-1.44%,3.51T,30.25K,-480.72,1.18,294.51B,49.97K,-906.85,0.91,-,-,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,-1.44,-3.14,6.37,-4.28,-0.24,71.04,0.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.5,68.26,-13.13,16.45,7.8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.70,1.94,-2.93,-164.63,-2.49,-3.93,46.68,27.76,0.00,45.20,-97.83
4,Johnson Johnson BDR,JNJB34,BM&FBovespa,Healthcare,Pharmaceuticals,61.46,-0.08%,2.41T,27.33K,24.53,0.53,96.04B,35.80K,7.29,0.57,1.05,-,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,-0.08,-0.49,3.14,-1.75,1.50,63.68,1.81,1.72%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64.85,52.69,-5.23,16.64,2.31%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.96,1.34,-0.82,-111.52,-0.27,-2.01,50.50,30.02,1.72,45.84,-80.44
5,Visa Inc BDR,VISA34,BM&FBovespa,Information Technology,IT Services,54.04,-1.3%,2.23T,13.92K,31.08,0.88,29.31B,23.85K,7.02,0.95,0.31,-,Buy,Strong Sell,Sell,Strong Buy,Neutral,-1.30,-1.75,7.97,-10.10,-7.25,43.99,-6.74,0.58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,63.94,46.56,-15.48,16.07,4.11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.36,1.68,-2.29,-190.97,-1.19,-5.16,48.05,33.18,0.00,35.90,-92.88
6,Exxon Mobil Corp BDR,EXXO34,BM&FBovespa,Energy,"Oil, Gas & Consumable Fuels",67.31,-1.71%,2.22T,62.30K,9.25,0.11,290.66B,35.50K,12.23,1.13,3.24,-,Strong Sell,Strong Sell,Strong Sell,Buy,Strong Buy,-1.71,-6.25,-3.51,65.83,58.53,119.47,58.97,2.4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.99,39.96,-18.89,68.44,1.43%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.51,3.78,-8.43,-184.95,-4.84,-11.39,40.05,21.27,0.00,24.66,-96.49
7,Walmart BDR,WALM34,BM&FBovespa,Consumer Staples,Food & Staples Retailing,48.44,-0.98%,2.11T,7.66K,46.02,0.82,600.11B,14.16K,3.27,0.53,0.49,-,Strong Sell,Strong Sell,Sell,Strong Buy,Strong Buy,-0.98,-2.46,6.74,-1.27,1.20,59.71,0.49,1.01%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51.96,35.55,-6.77,36.26,7.47%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,31.03,1.30,-1.07,-136.26,-1.04,-2.81,49.37,39.34,0.00,48.47,-80.73
8,JPMorgan Chase Co BDR,JPMC34,BM&FBovespa,Financial,Banks,68.37,-0.57%,2.01T,11.87K,11.41,1.30,120.59B,28.20K,11.86,1.12,1.39,-,Strong Sell,Strong Sell,Sell,Strong Buy,Neutral,-0.57,-3.27,1.86,-20.34,-22.31,28.18,-23.62,2.04%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.44,53.5,-27.60,27.79,9.26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33.03,1.70,-2.06,-151.02,-2.13,-4.12,47.20,24.97,0.00,39.00,-97.26
9,Procter Gamble Co BDR,PGCO34,BM&FBovespa,Consumer Staples,Household Products,55.84,-2.19%,1.85T,13.31K,23.66,1.47,81.28B,13.88K,5.95,0.40,0.94,-,Strong Buy,Neutral,Strong Buy,Strong Buy,Strong Buy,-2.19,-0.29,10.33,-11.68,-7.39,56.20,-7.12,1.68%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66.45,45.4,-15.97,23.00,10.33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44.09,1.30,0.65,44.32,0.00,3.60,59.28,67.66,0.06,66.27,-39.06
